Категория,Подкатегория,Получатель,Наименование,Описание,Размер_ставка,Условия,Контакты,Нормативный_акт,Дополнительно,Лист_источник,Строка_источник
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты малого и среднего предпринимательства,Юридическая консультация,"Консультирование ограничено следующей тематикой и перечнем вопросов нормативно-правового регулирования:
- применения законодательных, нормативных правовых актов Российской Федерации 
и Красноярского края, регулирующих предпринимательскую деятельность;
- подготовки типового устава и иных учредительных документов хозяйственных обществ, простых товариществ;
- выбора организационно-правовой формы, системы налогообложения, по выбору 
и добавлению кодов ОКВЭД;
- регистрации в качестве субъекта МСП (юридическое лицо, индивидуальный предприниматель);
- лицензирования отдельных видов деятельности;
- формирования патентно-лицензионной политики: информирование о порядке защиты прав на объекты интеллектуальной собственности, об этапах и нюансах государственной регистрации права на интеллектуальную собственность;
- разработки лицензионных договоров: предоставление сведений о составлении правовых документов, сопровождающих патентно-лицензионную деятельность;
- определение цены лицензии: содействие в расчете и определении правовых рисков 
при заключении лицензионного соглашения;
- порядка получения обязательной или добровольной сертификации продукции;
- подготовки досудебных претензий и возражений;
- подготовки исковых заявлений, отзывов, и иных процессуальных документов в рамках судебных споров;
- применения трудового законодательства Российской Федерации (в том числе 
по оформлению необходимых документов для приема на работу, а также разрешений на право привлечения иностранной рабочей силы);
- подготовки типовых договоров, соглашений, должностных регламентов и инструкций;
- правовой экспертизы договоров;
- внесения изменений в учредительные документы; 
- иным вопросам, возникающим у субъектов МСП, связанным 
с ведением предпринимательской деятельности",,"1) бесплатно;
 2) регистрация и ведение предпринимательской деятельности на территории Красноярского края;
 3) находиться в Едином реестре субъектов МСП","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Два раза в неделю: вторник, четверг

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,13
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты малого и среднего предпринимательства,Консультации сельхозтоваропроизводителей,Консультационные услуги по вопросам получения кредитных и иных финансовых мер поддержки для действующих и начинающих предпринимателей,,"1) бесплатно;
 2) регистрация и ведение предпринимательской деятельности на территории Красноярского края;
 3) находиться в Едином реестре субъектов МСП","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,14
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Граждане, желающие вести бизнес",Консультации по вопросам ведения предпринимательской деятельности,"Консультационные услуги по вопросам начала ведения предпринимательской деятельности для граждан, планирующих осуществление предпринимательской деятельности",,"1) бесплатно;
 2) регистрация места проживания на территории Красноярского края","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,15
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Граждане, желающие вести бизнес",Юридическая консультация,"Консультирование ограничено следующей тематикой и перечнем вопросов нормативно-правового регулирования:
- применения законодательных, нормативных правовых актов Российской Федерации 
и Красноярского края, регулирующих предпринимательскую деятельность;
- подготовки типового устава и иных учредительных документов хозяйственных обществ, простых товариществ;
- выбора организационно-правовой формы, системы налогообложения, по выбору 
и добавлению кодов ОКВЭД;
- регистрации в качестве субъекта МСП (юридическое лицо, индивидуальный предприниматель);
- лицензирования отдельных видов деятельности;
- порядка получения обязательной или добровольной сертификации продукции;
- применения трудового законодательства Российской Федерации (в том числе 
по оформлению необходимых документов для приема на работу, а также разрешений на право привлечения иностранной рабочей силы);
- иным вопросам, возникающим у гражданина, желающего вести бизнес, связанным с ведением предпринимательской деятельности",,"1) бесплатно;
 2) регистрация места проживания на территории Красноярского края","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,16
Консультационная поддержка,КОНСУЛЬТАЦИИ,Самозанятые,Юридическая консультация,"Консультирование ограничено следующей тематикой и перечнем вопросов нормативно-правового регулирования:
- применения законодательных, нормативных правовых актов Российской Федерации 
и Красноярского края, регулирующих предпринимательскую деятельность;
- регистрации в качестве субъекта МСП (юридическое лицо, индивидуальный предприниматель);
- иным вопросам, возникающим у самозанятого, связанным с ведением предпринимательской деятельности",,"1) бесплатно;
 2) регистрация и ведение предпринимательской деятельности на территории Красноярского края;
 3) регистрация места проживания на территории Красноярского края","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,17
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,Скоринг (расчет рейтинга субъекта МСП),"Скоринг - это комплексный анализ деятельности юридических лиц и индивидуальных предпринимателей, проводимый на основе открытых источников данных в целях определения возможности предоставления субъектам МСП мер государственной поддержки.",,"1) бесплатно  
2) регистрация и ведение предпринимательской деятельности на территории Красноярского края","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,18
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,Консультирование об услугах,Консультирование об услугах  ЦКР,,"1) бесплатно 
 2) регистрация и ведение предпринимательской деятельности на территории Красноярского края","Центр «Мой бизнес» Красноярского края
Главный офис по адресу:
г. Красноярск, ул. Александра Матросова, д. 2
Обособленные подразделения в муниципальных образованиях Красноярского края

Тел.: 8-800-234-01-24;
E-mail: vopros@mb24.ru
Сайт: https://мойбизнес-24.рф/",,,Консультационная поддержка,19
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, физические лица, самозанятые граждане",Консультирование об услугах ЦК АПК,Консультирование об услугах ЦК АПК (основные направления поддержки),,Отсутствуют,"Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,20
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, физические лица","Консультирование по вопросам существующих мер государственной поддержки, направленных на развитие малых форм хозяйствования в отрасли сельского хозяйства","Консультирование по грантам ""Агростартап"" и ""Наш фермер, проводимых министерством сельского хозяйства Красноярского края",,Отсутствуют,"Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,21
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, физические лица",Консультирование по мерам государственной поддержки сельскохозяйственных товаропроизводителей в Красноярском крае,Консультирование по широкому спектру мер государственной поддержки,,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,22
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, физические лица",Консультация по вопросам организации предпринимательской деятельности в сельском хозяйстве,"Консультирование по вопросам открытия, закрытия или изменения органиазционной формы. Разъяснения вопросов, связанных с использованием имущества, найма персонала, упралвения финансами",,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,23
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,"Консультирование субъектов МСП в АПК, являющимися получателями грантовой поддержки, в сдаче отчетности в системе ГИИС «Электронный бюджет»",Консультирование по заполнению форм  ГИИС «Электронный бюджет» для отчетов получателей мер государственной поддержки,,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края.
3) Основным видом деятельности Заявителя должно являться выращивание и (или) производство, и (или) переработка сельскохозяйственной продукции (ОКВЭД группы 01, 03.2, 10)","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,24
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,"Консультирование субъектов МСП в АПК в подборе сельскохозяйственной техники и оборудования для осуществления ими эффективной деятельности, внедрения инновационных технологий в сельском хозяйстве",Консультирование по подбору наиболее эффективной техники / оборудования под конкретные условия запроса,,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,25
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, физические лица",Консультирование по подготовке пакета документов заявителей для участия в конкурсных отборах,"Проведение экспентизы проектов создания (и/или) развития хозяйтсва, подаваемого на конкурс на гранты ""Агростартап"" и ""Наш фнрмер""",,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края.
3) Основным видом деятельности Заявителя должно являться выращивание и (или) производство, и (или) переработка сельскохозяйственной продукции (ОКВЭД группы 01, 03.2, 10)","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,26
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,"Организация участия субъектов МСП в АПК в выставочно-ярмарочных мероприятиях, в сфере сельского хозяйства","Предоставление индивидуального стенда на безвозмездной основе, но не более суммы установленного лимита в размере:
- 60 000,00 рублей (на территории Красноярского края);
- 200 000,00 рублей (в других субъектах РФ)",,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края
3) Основным видом деятельности Заявителя должно являться выращивание и (или) производство, и (или) переработка сельскохозяйственной продукции (ОКВЭД группы 01, 03.2, 10)","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,27
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,"Оказание содействия субъектам МСП в АПК в привлечении профильного эксперта для организации предоставления зоотехнических, ветеринарных и иных услуг в области сельского хозяйства","Не более 50% затрат на услугу оплачивает Центр «Мой бизнес», но не более суммы установленного лимита в размере  50 000,00 рублей.
Доля софинансирования услуги субъектом МСП – не менее 50%",,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края
3) Основным видом деятельности Заявителя должно являться выращивание и (или) производство, и (или) переработка сельскохозяйственной продукции (ОКВЭД группы 01, 03.2, 10)","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,28
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,Оказание содействия субъектам МСП в АПК в подготовке бизнес-планов,"Не более 20% затрат на услугу оплачивает Центр «Мой бизнес», но не более суммы установленного лимита в размере 30 000,00 рублей.
Доля софинансирования услуги субъектом МСП – не менее 80%.",,"1) Заявитель должен быть зарегистрирован в качестве налогоплательщика и вести деятельность на территории Красноярского края.
2) Заявитель является субъектом МСП в AПК (субъекты малого и среднего предпринимательства (юридические лица или индивидуальные предприниматели, сведения о которых внесены в единый реестр субъектов малого и среднего предпринимательства
в соответствии с Федеральным законом от 24.07.2007 № 209-ФЗ «О развитии малого и среднего предпринимательства в Российской Федерации»), зарегистрированные на территории Красноярского края и перечисленные в статье 2 Закона Красноярского края от 21 .02.2006 № 17-4487 «О государственной поддержке субъектов агропромышленного комплекса края», а так же граждане, ведущие личное подсобное хозяйство на территории Красноярского края.
3) Основным видом деятельности Заявителя должно являться выращивание и (или) производство, и (или) переработка сельскохозяйственной продукции (ОКВЭД группы 01, 03.2, 10)","Предоставление услуги осуществляется на основании заявки, поданной одним из способов:
- в электронном виде через обращение с использованием ЦП МСП.РФ;
- с использованием информационно-телекоммуникационной сети «Интернет» на официальном сайте центра «Мой бизнес» https://мойбизнес-24.рф;
- при личном визите в бизнес-окна центра «Мой бизнес»;
- по единому номеру тел.8-800-234-0-124",,,Консультационная поддержка,29
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Организации и субъекты, ведущие научную, научно-техническую и инновационную деятельность","Оказание консультаций по развитию научной, научно-технической и инновационной деятельности","Актуально для тех, кто планирует запуск научных исследований и разработок в Красноярском крае, нуждается в развитии команды или привлечении дополнительного фонансирования.",,Бесплатно,info@anomtl.ru,,,Консультационная поддержка,30
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП,"Консультации для резидентов краевого бизнес-инкубатора по вопросам налогообложения, бухгалтерского учёта, кредитования, правовой защиты и развития предприятия, бизнес-планирования, маркетинга","Оказание услуг по разработке бизнес-планов, концепций, технико-экономических обоснований, инвестиционных проектов, реализуемых на территории Российской Федерации",,"Являться резидентом КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор""","КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"":
адрес – г. Красноярск, пр. Свободный, 75;
телефон – (391) 201-77-77;
электронная почта – info@kritbi.ru;
сайт – https://www.kritbi.ru.",,,Консультационная поддержка,31
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП
Физические лица",Консультации по вопросам участия инновационных проектов в программах поддержки различных фондов и институтов развития,"КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"" является региональным оператором Фонда «Сколково», представителем Фонда содействия развитию малых форм предприятий в научно-технической сфере, Центра нормативно-технической поддержки Фонда инфраструктурных и образовательных программ ГК РОСНАНО, Российской венчурной компании – проекта «Национальная технологическая инициатива».",,Специальные требования отсутствуют,"КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"":
адрес – г. Красноярск, пр. Свободный, 75;
телефон – (391) 201-77-77;
электронная почта – info@kritbi.ru;
сайт – https://www.kritbi.ru.",,,Консультационная поддержка,32
Консультационная поддержка,КОНСУЛЬТАЦИИ,"Субъекты МСП, Самозанятые",Консультации по вопросам ведения предпринимательской деятельности для жителей г. Назарово и Назаровского района,"АНО «Консультационно-ресурсный центр поддержки и развития субъектов малого и среднего предпринимательства, некоммерческих организаций и физических лиц «Назаровский бизнес-инкубатор» оказывает консультационную помощь по вопросам бизнес-планирования, регистрации и осуществления предпринимательской деятельности.",,Бесплатно и платно,"Назаровский бизнес-инкубатор:
адрес – г. Назарово, ул. Труда, 13, 1-й этаж, каб. 10;
телефон – 8-963-262-88-98;
электронная почта – nazarovo-nbi@mail.ru;
группа в соцсети – https://vk.com/nazarovo_nbi.",,,Консультационная поддержка,33
Консультационная поддержка,КОНСУЛЬТАЦИИ,Субъекты МСП Физические лица,Инжиниринг и прототипирование,"Основные направления работы отдела инжиниринга и прототипирования КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"":
3D-печать  FDM и SLS технологии);
реверс-инжиниринг (лазерное сканирование и цифровое воспроизведение существующих деталей для их дальнейшей оптимизации, восстановления или производства);
металлообработка; 3D-моделирование;
разработка фирменного стиля и графический дизайн;
проектирование (разработка технического решение в 3д и подготовка чертежей на основе вашего технического задания).",,"Предоставляются при обращении (для резидентов КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"" – льготная стоимость).

Дополнительная информация: https://www.kritbi.ru/prototyping","КГАУ ""Красноярский региональный инновационно-технологический бизнес-инкубатор"", отдел 
инжиниринга и прототипирования:
адрес – г. Красноярск, пр. Свободный, 75;
телефон – (391) 201-77-77;
электронная почта – info@kritbi.ru;
сайт – https://www.kritbi.ru.",,,Консультационная поддержка,34
